#IDA	IDB	WI2004	WI2007	BPMAPS
C06A5.9	F55H2.7		core	
C06A5.9	F59B8.1		core	
C06A5.9	H06I04.1		core	
C06A5.9	H06I04.3		core	
C06A5.9	K01A6.4		core	
C06A5.9	K10C9.7		core	
C06A5.9	K12F2.2		core	
C06A5.9	R03D7.4		core	
C06A5.9	R07G3.7		core	
C06A5.9	R10E9.2		core	
C06A5.9	T01H8.5		core	
C06A5.9	T04F8.6		core	
C06A5.9	T12D8.9		core	
C06A5.9	Y113G7B.1		core	
C06A5.9	Y37A1B.1		core	
C06A5.9	Y37D8A.21		core	
C06A5.9	Y48E1B.10		core	
C06A5.9	Y48E1B.5		core	
C06A5.9	Y71G10AL.1		core	
C06A5.9	ZK682.7		core	
C06A6.2	T04H1.2	core		
C06A6.2	Y51H4A.17	core		
C06A8.1	Y69A2AR.30	core		
C06A8.2	T02C12.2		core	
C06A8.3	R05F9.10		core	
C06A8.5	F43C1.2			core
C06A8.5	F59C12.3		core	
C06A8.5	K09B11.9	core		
C06A8.5	T17H7.4	core		
C06A8.6	T06C10.3		core	
C06C3.1	F43C1.2			core
C06C3.1	K09B11.9	core		
C06C3.1	T11B7.4	core		
C06C3.1	W04D2.1	core		
C06C3.1	Y92C3B.2	core		
C06E1.1	C32D5.9		core	
C06E1.1	D2013.2	core	core	
C06E1.1	F37B1.4		core	
C06E1.1	ZK593.6		core	
C06E1.10	T11B7.1		core	
C06E1.5	ZK1248.3		core	
C06E2.7	R02F2.5		core	
C06E4.2	R05F9.10	core		
C06E4.2	W01B6.9	core		
C06E7.1	C49F5.1		core	
C06E7.3	C49F5.1		core	
C06E7.4	C14A4.11	core		
C06E7.4	K09B11.9	core		
C06E7.4	T04H1.2	core		
C06E7.4	T11B7.4	core		
C06E7.4	T17H7.4	core		
C06E7.4	W06F12.1	core		
C06E8.3	T11B7.1		core	
C06G1.5	C11E4.6		core	
C06G1.5	C18H9.7		core	
C06G1.5	C33H5.15		core	
C06G1.5	DH11.4		core	
C06G1.5	F32B4.4		core	
C06G1.5	F49F1.9		core	
C06G1.5	F52D2.4		core	
C06G1.5	K09B11.9		core	
C06G1.5	R01E6.5		core	
C06G1.5	T11B7.4		core	
C06G1.5	T20F5.4		core	
C06G1.5	W05H7.4		core	
C06G1.5	Y37D8A.21		core	
C06G1.5	Y37H2A.1		core	
C06G1.5	Y54E2A.3		core	
C06G1.5	Y57G11C.24		core	
C06G1.5	ZK121.2		core	
C06G1.5	ZK849.2		core	
C06G3.1	K10C3.6	core		
C06G3.10	F56E3.3	core		
C06G3.6	F46G11.1	core		
C06G3.6	K12B6.8		core	
C06G3.6	PAR2.1	core		
C06G3.6	T04H1.2	core		
C06G3.6	W04D2.1	core		
C06G3.6	Y41C4A.14			core
C06G3.6	Y49E10.2		core	
C06H2.6	Y97E10AR.7	core		
C06H5.2	R12H7.5		core	
C06H5.2	Y105C5B.14		core	
C07A12.1	C18H9.7	core		
C07A12.1	C49A1.4	core		
C07A12.1	Y15E3A.1	core		
C07A12.4	C31H1.6		core	
C07A12.4	F11D5.1		core	
C07A12.4	H26D21.1			core
C07A12.4	Y41C4A.14			core
C07A9.6	F39H12.1		core	
C07A9.7	F35H8.5		core	
C07D10.2	ZK849.2	core		
C07E3.1	T17H7.4	core		
C07E3.3	W09H1.6	core	core	
C07E3.3	Y40B10A.2		core	
C07F11.1	C48D5.1	core		
C07G1.5	C34G6.7			core
C07G1.5	F14F3.1	core		
